timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_FF
2026-08-04T16:53:43.342612+00:00,170,True,1,,,,,,,,00000000000000
2026-08-04T16:53:43.407097+00:00,170,True,8,02470415A8FFFF,015A73A0116700,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:43.506344+00:00,170,True,8,024C0415A4FFFF,015973A0116B00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:43.605644+00:00,170,True,8,024C04159DFFFF,015D73A0117200,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:43.704906+00:00,170,True,8,02490415BAFFFF,015B73A0115500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:43.804203+00:00,170,True,8,02460415ADFFFF,015C73A0116200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:43.903520+00:00,170,True,8,024A0415A2FFFF,015673A0116D00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.002763+00:00,170,True,8,024B04159AFFFF,015C73A0117500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.102045+00:00,170,True,8,024904159AFFFF,015B73A0117500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.201324+00:00,170,True,8,024704159FFFFF,015B73A0117000,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.300622+00:00,170,True,8,02470415A6FFFF,015773A0116900,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.399879+00:00,170,True,8,02440415C6FFFF,015C73A0114900,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.499187+00:00,170,True,8,023F0415D7FFFF,015973A0113800,00090000000000,047B000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.598483+00:00,170,True,8,023F0415E7FFFF,015773A0112800,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.697732+00:00,170,True,8,023D0415D5FFFF,015973A0113A00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.797056+00:00,170,True,8,02410415BCFFFF,015873A0115300,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.896360+00:00,170,True,8,02480415A8FFFF,015B73A0116700,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:44.995573+00:00,170,True,8,024B04159CFFFF,015F73A0117300,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.094889+00:00,170,True,8,024C04158EFFFF,015D73A0118100,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.194134+00:00,170,True,8,02490415B6FFFF,015E73A0115900,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.293429+00:00,170,True,8,02480415A5FFFF,015C73A0116A00,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.392705+00:00,170,True,8,02490415AEFFFF,015C73A0116100,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.492010+00:00,170,True,8,02490415A8FFFF,015C73A0116700,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.591300+00:00,170,True,8,02490415B4FFFF,015C73A0115B00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.690552+00:00,170,True,8,02450415AFFFFF,015C73A0116000,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.789845+00:00,170,True,8,024604159AFFFF,015A73A0117500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.889172+00:00,170,True,8,024B04158BFFFF,015B73A0118400,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:45.988395+00:00,170,True,8,024D041596FFFF,016073A0117900,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:46.087687+00:00,170,True,8,025104156CFFFF,015E73A011A300,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:46.186959+00:00,170,True,8,024E041599FFFF,015F73A0117600,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:46.286250+00:00,170,True,8,02430415B3FFFF,015D73A0115C00,00090000000000,0515000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:46.385535+00:00,170,True,8,024804158BFFFF,015673A0118400,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:46.484817+00:00,170,True,8,025904154FFFFF,015A73A011C000,00090000000000,0515000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
