timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_07,rec_08,rec_09,rec_0A,rec_0B,rec_0C,rec_FF
2026-08-04T16:53:43.427411+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,00008798000000,00000000000000,003F0000029000,00000000000000,270FDD365F0000,50322710148206,010900F700000B,00000000000000,00000000000000
2026-08-04T16:53:43.675154+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,000087E6000000,00000000000000,003F0000024900,00000000000000,270FDD36950000,50322710148206,010800F700000B,00000000000000,00000000000000
2026-08-04T16:53:43.923828+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,000087E6000000,00000000000000,003F0000024900,00000000000000,270FDD36950000,50322710148206,010800F700000B,00000000000000,00000000000000
2026-08-04T16:53:44.171574+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,000087E6000000,00000000000000,003F0000024900,00000000000000,270FDD36950000,50322710148206,010800F700000B,00000000000000,00000000000000
2026-08-04T16:53:44.420251+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,000087E6000000,00000000000000,003F0000024900,00000000000000,270FDD36950000,50322710148206,010800F700000B,00000000000000,00000000000000
2026-08-04T16:53:44.667982+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13620000000000,000087FD000000,00000000000000,003F0000024F00,00000000000000,270FDD367A0000,50322710148206,010700F700000B,00000000000000,00000000000000
2026-08-04T16:53:44.916650+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13620000000000,000087FD000000,00000000000000,003F0000024F00,00000000000000,270FDD367A0000,50322710148206,010700F700000B,00000000000000,00000000000000
2026-08-04T16:53:45.164372+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13620000000000,000087FD000000,00000000000000,003F0000024F00,00000000000000,270FDD367A0000,50322710148206,010700F700000B,00000000000000,00000000000000
2026-08-04T16:53:45.413060+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13620000000000,000087FD000000,00000000000000,003F0000024F00,00000000000000,270FDD367A0000,50322710148206,010700F700000B,00000000000000,00000000000000
2026-08-04T16:53:45.660787+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,00008828000000,00000000000000,003F000002A100,00000000000000,270FDD360E0000,50322710148206,010500F700000B,00000000000000,00000000000000
2026-08-04T16:53:45.909470+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,00008828000000,00000000000000,003F000002A100,00000000000000,270FDD360E0000,50322710148206,010500F700000B,00000000000000,00000000000000
2026-08-04T16:53:46.157196+00:00,1A0,True,14,03010100000000,80000000000000,000092FD000000,00000000000000,13490000000000,00008828000000,00000000000000,003F000002A100,00000000000000,270FDD360E0000,50322710148206,010500F700000B,00000000000000,00000000000000
