timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_07,rec_08,rec_09,rec_0A,rec_0B,rec_0C,rec_0D,rec_0E,rec_0F,rec_10,rec_11,rec_12,rec_13,rec_14,rec_15,rec_16,rec_17,rec_FF
2026-08-04T16:53:45.159443+00:00,1E0,True,25,000092FD000000,00001F86000000,00002B48000F00,00003B4E0F1E00,000007361E3C00,0000046F3C4600,000000FF465000,0000003D505A00,000000005A6400,000000006EFF00,01000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,00000000000000,29010A090B0000,00000000000000
2026-08-04T16:54:03.169793+00:00,1E0,True,25,000092FD000000,00001F86000000,00002B48000F00,00003B4E0F1E00,000007361E3C00,0000046F3C4600,000000FF465000,0000003D505A00,000000005A6400,000000006EFF00,01000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,00000000000000,40000000000000,00000000000000,29010A090B0000,00000000000000
